stage	r	t	r_filt	v	tau	v_need	a_need	cmnd	marker
ef	2.0	0	2.0	-1.0	0	0	0	0	0
ef	1.92862126098	0.0680000782013	1.92862126098	-1.04968613135	-1.83733137305	-1.03064245843	0.285655093782	-1.03064245843	1
ef	1.85902108546	0.134999990463	1.85902108546	-1.03880995015	-1.78956803908	-1.01946058897	0.29024041765	-1.01946058897	1
ef	1.79025265393	0.200999975204	1.79025265393	-1.04194617319	-1.71818151455	-1.02173204633	0.303211902925	-1.02173204633	1
ef	1.72268855792	0.268000125885	1.72268855792	-1.0084170756	-1.70830958698	-0.988740371342	0.295150563833	-0.988740371342	1
ef	1.65284892409	0.335000038147	1.65284892409	-1.04238395953	-1.58564309146	-1.02047100058	0.328694384362	-1.02047100058	1
ef	1.58718956843	0.40499997139	1.58718956843	-0.937991689609	-1.69211474474	-0.919513988997	0.277165509172	-0.919513988997	1
ef	1.52719252411	0.47200012207	1.52719252411	-0.89547625951	-1.7054528335	-0.877974040707	0.262533282047	-0.877974040707	1
ef	1.47011411738	0.538000106812	1.47011411738	-0.864824544319	-1.69989869858	-0.84786618978	0.254375318083	-0.84786618978	1
ef	1.41514427382	0.605000019073	1.41514427382	-0.820446500792	-1.72484649816	-0.804591051207	0.237831743772	-0.804591051207	1
ef	1.36712685433	0.673000097275	1.36712685433	-0.706137709828	-1.93606266214	-0.693980084911	0.182364373746	-0.693980084911	1
ef	1.3220656021	0.739000082016	1.3220656021	-0.682746403638	-1.93639335932	-0.670993516062	0.176293313637	-0.670993516062	1
ef	1.27301316244	0.805999994278	1.27301316244	-0.732126923944	-1.7387875255	-0.718091723874	0.210528001037	-0.718091723874	1
ef	1.22751196953	0.873000144958	1.22751196953	-0.679120754866	-1.80750177451	-0.666596640746	0.187861711795	-0.666596640746	1
ef	1.17099203436	0.94000005722	1.17099203436	-0.843582226683	-1.38811842796	-0.823325015922	0.303858161412	-0.823325015922	1
ef	1.12089701655	1.00699996948	1.12089701655	-0.747687812018	-1.49915111432	-0.731063118997	0.249370395311	-0.731063118997	1
ef	1.07051740538	1.07400012016	1.07051740538	-0.751932803984	-1.4236875951	-0.734327518326	0.264079284869	-0.734327518326	1
ef	1.01681155653	1.1400001049	1.01681155653	-0.813725170789	-1.24957613827	-0.79201847239	0.32560047598	-0.79201847239	1
ef	0.957579869805	1.20600008965	0.957579869805	-0.897450006305	-1.06700079456	-0.869413475908	0.420547955953	-0.869413475908	1
ef	0.899756976719	1.27300000191	0.899756976719	-0.863029385171	-1.04255659446	-0.835436018705	0.41390049699	-0.835436018705	1
ef	0.844207106654	1.33899998665	0.844207106654	-0.841664892546	-1.00302045877	-0.813693881413	0.419565166983	-0.813693881413	1
ef	0.795495282695	1.40600013733	0.795495282695	-0.727040513555	-1.0941553708	-0.704891297427	0.332238241916	-0.704891297427	1
ef	0.746486264957	1.47300004959	0.746486264957	-0.731478834583	-1.02051656133	-0.707586397416	0.358386557503	-0.707586397416	1
ef	0.698943115803	1.53900003433	0.698943115803	-0.720350911291	-0.97028143485	-0.695603764556	0.371207201034	-0.695603764556	1
ef	0.658322206887	1.60600018501	0.658322206887	-0.606280859117	-1.08583702914	-0.587669077212	0.279176728573	-0.587669077212	1
ef	0.620403166546	1.67200016975	0.620403166546	-0.574531047098	-1.07984271638	-0.556796024569	0.266025337941	-0.556796024569	1
ef	0.584341958656	1.73900008202	0.584341958656	-0.538227688256	-1.08567799726	-0.52170260164	0.247876299241	-0.52170260164	1
ef	0.559265584137	1.80500006676	0.559265584137	-0.379945156309	-1.47196397914	-0.371341115229	0.129060616188	-0.371341115229	1
ef	0.536051639996	1.87700009346	0.536051639996	-0.322415771263	-1.66260985899	-0.315951721794	0.0969607420283	-0.315951721794	1
ef	0.516034682336	1.94400000572	0.516034682336	-0.298760953331	-1.72724941658	-0.292995313262	0.0864846010262	-0.292995313262	1
ef	0.489868025107	2.0110001564	0.489868025107	-0.390546244498	-1.25431503185	-0.380167505649	0.155681082735	-0.380167505649	1
ef	0.466745529876	2.07700014114	0.466745529876	-0.350340917819	-1.33226096678	-0.341575344943	0.131483593138	-0.341575344943	1
ef	0.457370156717	2.14400005341	0.457370156717	-0.139931125924	-3.26853767307	-0.138504074645	0.0214057691726	-0.138504074645	1
ef	0.449474300881	2.21000003815	0.449474300881	-0.119634206995	-3.75707176209	-0.118572793439	0.0159212033428	-0.118572793439	1
ef	0.445632949863	2.27700018883	0.445632949863	-0.0573334683429	-7.77264942698	-0.0570875913573	0.00368815478438	-0.0570875913573	1
ef	0.438889945659	2.34300017357	0.438889945659	-0.102166753983	-4.295819614	-0.101373992933	0.0118914157441	-0.101373992933	1
ef	0.432145713497	2.40900015831	0.432145713497	-0.102185359408	-4.22903746682	-0.101379932955	0.0120813967965	-0.101379932955	1
ef	0.415056546714	2.47500014305	0.415056546714	-0.258926829303	-1.60298779323	-0.253542574759	0.0807638181639	-0.253542574759	1
ef	0.39263776875	2.54200005531	0.39263776875	-0.334609064504	-1.17342239169	-0.325103846636	0.142578268011	-0.325103846636	1
ef	0.380338103427	2.60800004005	0.380338103427	-0.186358608586	-2.04089366364	-0.183314866655	0.0456561289562	-0.183314866655	1
ef	0.362984997283	2.67500019073	0.362984997283	-0.259001001758	-1.40148105536	-0.252840828067	0.0924026053607	-0.252840828067	1
ef	0.334205437394	2.74100017548	0.334205437394	-0.436054038522	-0.766431239869	-0.417089343633	0.284470423332	-0.417089343633	1
