stage	r	t	r_filt	v	tau	v_need	a_need	cmnd	marker
ef	0.885	8.5555639267	0.885	0.0287360808992	30.7975190878	0.0287516319791	0.000233266199278	-0.0287516319791	1
ef	0.885	8.61709284782	0.885	0.0	-885.0	0.0	-0.0	-0.01	1
ef	0.887	8.68540406227	0.887	0.029277769634	30.2960236073	0.0292938761315	0.000241597461878	-0.0292938761315	1
ef	0.885	8.74712204933	0.885	-0.0324054638729	-27.3102092743	-0.0323856877131	0.000296642397971	-0.01	1
ef	0.885	8.8188829422	0.885	0.0	-885.0	0.0	-0.0	-0.01	1
ef	0.887	8.88052892685	0.887	0.0324433134026	27.3399941921	0.0324630910911	0.000296665328224	-0.0324630910911	1
ef	0.885	8.94768500328	0.885	-0.0297813705964	-29.7165638208	-0.0297646675826	0.000250545207514	-0.01	1
ef	0.886	9.00915789604	0.886	0.0162673327231	54.4649829865	0.016272310641	7.46687680375e-05	-0.016272310641	1
ef	0.886	9.07902002335	0.886	0.0	-886.0	0.0	-0.0	-0.01	1
ef	0.887	9.14092707634	0.887	0.0161532483237	54.9115560055	0.0161581511316	7.35421170825e-05	-0.0161581511316	1
ef	0.886	9.20955204964	0.886	-0.0145719546683	-60.8017263413	-0.0145679602766	5.99158755235e-05	-0.01	1
ef	0.888	9.27090597153	0.888	0.0325977531408	27.2411413193	0.0326176970881	0.000299159208849	-0.0326176970881	1
ef	0.885	9.34045791626	0.885	-0.0431332295816	-20.5178236961	-0.0430981923783	0.000525558049192	-0.01	1
ef	0.882	9.40176200867	0.882	-0.0489363741016	-18.0234031677	-0.0488911214805	0.000678789316954	-0.01	1
ef	0.878	9.53453493118	0.878	-0.0301266246476	-29.1436564922	-0.0301093958414	0.000258432093581	-0.01	1
ef	0.878	9.59725689888	0.878	0.0	-878.0	0.0	-0.0	-0.01	1
ef	0.876	9.66581988335	0.876	-0.0291702587856	-30.0305871963	-0.0291540695923	0.000242837898863	-0.01	1
ef	0.876	9.72822904587	0.876	0.0	-876.0	0.0	-0.0	-0.01	1
ef	0.878	9.79785084724	0.878	0.0287266339058	30.5639708042	0.0287422986646	0.000234971382562	-0.0287422986646	1
ef	0.877	9.85901594162	0.877	-0.0163491940985	-53.6417877674	-0.0163441143542	7.61961652425e-05	-0.01	1
ef	0.881	9.92757606506	0.881	0.0583429521286	15.1003671885	0.0584073467571	0.000965919427661	-0.0584073467571	1
ef	0.877	9.98932099342	0.877	-0.0647826486522	-13.5375755429	-0.064702892066	0.00119634879316	-0.01	1
ef	0.88	10.0587608814	0.88	0.0432028346586	20.3690338135	0.0432381847519	0.00053025139845	-0.0432381847519	1
ef	0.881	10.1201510429	0.881	0.016289255075	54.0847322941	0.0162942747464	7.52950711968e-05	-0.0162942747464	1
ef	0.877	10.1933648586	0.877	-0.0546344970871	-16.0521290898	-0.0545777709702	0.000850891753694	-0.01	1
ef	0.879	10.2508249283	0.879	0.0348067799423	25.253700614	0.0348297513479	0.000344571083605	-0.0348297513479	1
ef	0.878	10.3216969967	0.878	-0.0141099310702	-62.2256760597	-0.0141061518342	5.66885406623e-05	-0.01	1
ef	0.877	10.3813240528	0.877	-0.0167709101378	-52.2929282188	-0.0167655649567	8.01777157497e-05	-0.01	1
ef	0.877	10.4539139271	0.877	0.0	-877.0	0.0	-0.0	-0.01	1
ef	0.88	10.5126199722	0.88	0.0511020626972	17.2204399109	0.0511515214247	0.000741880912475	-0.0511515214247	1
ef	0.884	10.5834770203	0.884	0.056451688448	15.6594076157	0.0565117712747	0.000901242400632	-0.0565117712747	1
ef	0.886	10.6432089806	0.886	0.0334829124989	26.4612584114	0.0335040017658	0.000316339003784	-0.0335040017658	1
ef	0.888	10.7131109238	0.888	0.0286115078959	31.0364627838	0.0286268723551	0.000230466887409	-0.0286268723551	1
ef	0.887	10.7747299671	0.887	-0.0162287491923	-54.6560914516	-0.0162238004456	7.42312007741e-05	-0.01	1
ef	0.887	10.8442978859	0.887	0.0	-887.0	0.0	-0.0	-0.01	1
ef	0.886	10.9057450294	0.886	-0.0162741494909	-54.4421691895	-0.0162691674002	7.47313605116e-05	-0.01	1
ef	0.888	10.97397089	0.888	0.0293143975398	30.2922821045	0.0293305261792	0.000241929589843	-0.0293305261792	1
ef	0.888	11.0353369713	0.888	0.0	-888.0	0.0	-0.0	-0.01	1
ef	0.89	11.1060578823	0.89	0.0282801786768	31.4708054066	0.0282951556151	0.000224654074716	-0.0282951556151	1
ef	0.891	11.1662168503	0.891	0.0166226255821	53.6016404629	0.0166277941508	7.75285300904e-05	-0.0166277941508	1
ef	0.891	11.2373080254	0.891	0.0	-891.0	0.0	-0.0	-0.01	1
ef	0.891	11.297399044	0.891	0.0	-891.0	0.0	-0.0	-0.01	1
ef	0.894	11.3659389019	0.894	0.0437701520469	20.4248776436	0.0438058684192	0.000535745584511	-0.0438058684192	1
ef	0.893	11.428606987	0.893	-0.0159570856271	-55.9625999927	-0.0159523333206	7.12845973435e-05	-0.01	1
ef	0.893	11.4980759621	0.893	0.0	-893.0	0.0	-0.0	-0.01	1
ef	0.893	11.5583670139	0.893	0.0	-893.0	0.0	-0.0	-0.01	1
ef	0.893	11.6293489933	0.893	0.0	-893.0	0.0	-0.0	-0.01	1
ef	0.893	11.6895949841	0.893	0.0	-893.0	0.0	-0.0	-0.01	1
ef	0.895	11.7584898472	0.895	0.0290297405231	30.8304512501	0.0290454337416	0.000235398277888	-0.0290454337416	1
ef	0.897	11.8199219704	0.897	0.0325562571556	27.5523072481	0.0325759507617	0.000295404091411	-0.0325759507617	1
ef	0.897	11.8908040524	0.897	0.0	-897.0	0.0	-0.0	-0.01	1
ef	0.899	11.9509160519	0.899	0.0332712273131	27.0203437805	0.0332917496447	0.000307834974116	-0.0332917496447	1
ef	0.9	12.0206408501	0.9	0.0143420995941	62.7523183823	0.014345908776	5.7137727991e-05	-0.014345908776	1
ef	0.904	12.0822520256	0.904	0.0649232864838	13.9241256714	0.0650009972716	0.00116566181633	-0.0650009972716	1
ef	0.9	12.1508469582	0.9	-0.0583133454753	-15.4338598251	-0.0582503742482	0.0009445684057	-0.01	1
ef	0.899	12.2124779224	0.899	-0.0162256101571	-55.406236887	-0.0162207293557	7.3212020292e-05	-0.01	1
ef	0.898	12.2832770348	0.898	-0.0141244708759	-63.5776028633	-0.0141207681907	5.55402777069e-05	-0.01	1
ef	0.895	12.3434870243	0.895	-0.0498256190133	-17.9626468817	-0.049779388244	0.000693461539123	-0.01	1
ef	0.894	12.4145078659	0.894	-0.014080373838	-63.4926323891	-0.014076677773	5.54409752291e-05	-0.01	1
ef	0.895	12.474686861	0.895	0.0166170936852	53.8602006435	0.01662223573	7.71306711018e-05	-0.01662223573	1
ef	0.892	12.5464398861	0.892	-0.0418100839331	-21.3345661163	-0.0417774216925	0.000489933609443	-0.01	1
ef	0.89	12.6055600643	0.89	-0.0338293973416	-26.3084793091	-0.0338079661033	0.000321468574296	-0.01	1
ef	0.888	12.6761229038	0.888	-0.0283435305884	-31.3299007416	-0.0283284525905	0.000226169967966	-0.01	1
ef	0.886	12.7352700233	0.886	-0.0338139881732	-26.2021739483	-0.0337924797873	0.000322625788989	-0.01	1
ef	0.884	12.8057169914	0.884	-0.0283901501306	-31.1375598908	-0.0283749540404	0.000227941353066	-0.01	1
ef	0.882	12.8663179874	0.882	-0.033002757899	-26.7250392437	-0.032982176228	0.000308725064892	-0.01	1
ef	0.883	12.9348049164	0.883	0.0146013263477	60.4739582539	0.0146053504838	6.0362041651e-05	-0.0146053504838	1
ef	0.882	12.9974908829	0.882	-0.0159525338121	-55.2890224457	-0.0159477249811	7.21324645762e-05	-0.01	1
ef	0.881	13.0662388802	0.881	-0.0145458782729	-60.5669856072	-0.0145418755757	6.00404582097e-05	-0.01	1
ef	0.883	13.1278839111	0.883	0.0324438153142	27.2162811756	0.0324636832106	0.000298018446246	-0.0324636832106	1
ef	0.884	13.1975359917	0.884	0.0143570729303	61.5724391937	0.0143609591585	5.82934228296e-05	-0.0143609591585	1
ef	0.883	13.2600500584	0.883	-0.0159963997361	-55.1999208927	-0.0159915698983	7.24475663977e-05	-0.01	1
ef	0.881	13.3282270432	0.881	-0.0293354129146	-30.0319617987	-0.0293191328077	0.000244201603539	-0.01	1
ef	0.879	13.3895919323	0.879	-0.0325919272058	-26.9698687792	-0.0325717862555	0.000302114254547	-0.01	1
ef	0.879	13.4590399265	0.879	0.0	-879.0	0.0	-0.0	-0.01	1
ef	0.882	13.5214390755	0.882	0.0480775787957	18.3453497887	0.0481212570569	0.000655173918044	-0.0481212570569	1
ef	0.88	13.5909068584	0.88	-0.0287903242967	-30.5658245087	-0.0287746257593	0.000235478060542	-0.01	1
ef	0.88	13.6522619724	0.88	0.0	-880.0	0.0	-0.0	-0.01	1
ef	0.88	13.7213978767	0.88	0.0	-880.0	0.0	-0.0	-0.01	1
ef	0.88	13.7825579643	0.88	0.0	-880.0	0.0	-0.0	-0.01	1
ef	0.877	13.8518118858	0.877	-0.043318846567	-20.2452297211	-0.0432831847945	0.000534926587199	-0.01	1
ef	0.877	13.9133019447	0.877	0.0	-877.0	0.0	-0.0	-0.01	1
ef	0.876	13.983782053	0.876	-0.0141884004533	-61.7405748367	-0.0141845703409	5.74516859084e-05	-0.01	1
ef	0.875	14.0453028679	0.875	-0.0162546611532	-53.8307130337	-0.0162496285054	7.54897169162e-05	-0.01	1
ef	0.875	14.112719059	0.875	0.0	-875.0	0.0	-0.0	-0.01	1
ef	0.876	14.1741800308	0.876	0.0162704879241	53.8398113251	0.0162755246208	7.55504501393e-05	-0.0162755246208	1
ef	0.874	14.2457029819	0.874	-0.0279630519786	-31.2555296421	-0.0279481409893	0.00022366483866	-0.01	1
ef	0.873	14.3054349422	0.873	-0.0167414562494	-52.146001339	-0.0167361054217	8.02624161948e-05	-0.01	1
ef	0.872	14.3746640682	0.872	-0.0144447873044	-60.3677978515	-0.0144407993097	5.98199198019e-05	-0.01	1
ef	0.872	14.4356968403	0.872	0.0	-872.0	0.0	-0.0	-0.01	1
