r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.657,6.4131398201,1.657,0.0,0.0,0.0,0.0,-0.539,0.0
1.653,6.41586685181,1.653,-1.46679629306,-1.12694585323,0.0,0.0,-0.539,0.0
1.647,6.56146192551,1.647,-0.0412101855339,-39.9658477306,0.0,0.0,-0.539,0.0
1.643,6.61122488976,1.643,-0.0803810637166,-20.4401375651,0.0,0.0,-0.539,0.0
1.633,6.67616701126,1.633,-0.153983266455,-10.6050484419,0.0,0.0,-0.539,0.0
1.622,6.74034690857,1.622,-0.171393231546,-9.46361758492,0.0,0.0,-0.539,0.0
1.605,6.80569887161,1.605,-0.260129905949,-6.1699941579,0.0,0.0,-0.539,0.0
1.584,6.8715569973,1.584,-0.318867258688,-4.96758433751,0.0,0.0,-0.539,0.0
1.564,6.93673992157,1.564,-0.306828824018,-5.09730467796,0.0,0.0,-0.539,0.0
1.539,7.00139379501,1.539,-0.386674435242,-3.98009244919,0.0,0.0,-0.539,0.0
1.512,7.06634187698,1.512,-0.415716664464,-3.63709259033,0.0,0.0,-0.539,0.0
1.483,7.13166594505,1.483,-0.443940508561,-3.34053768783,0.0,0.0,-0.539,0.0
1.454,7.1958630085,1.454,-0.451734058278,-3.21870793967,-0.447055845086,0.0701731978707,-0.597,1
1.423,7.26152682304,1.423,-0.472101723224,-3.01418090636,-0.466880827532,0.0783134353728,-0.62,1
1.392,7.32728791237,1.392,-0.471403383341,-2.95288504324,-0.466081995654,0.079820815311,-0.62,1
1.361,7.3915169239,1.361,-0.482647938351,-2.81986079677,-0.476942598346,0.0855801000714,-0.633,1
1.33,7.45597696304,1.33,-0.480918107003,-2.76554361466,-0.475121559995,0.0869482051293,-0.63,1
1.297,7.52248597145,1.297,-0.496173387487,-2.61400557287,-0.489846272852,0.094906719526,-0.648,1
1.266,7.58611893654,1.266,-0.487168874768,-2.59868818714,-0.480919967118,0.0937336147482,-0.637,1
1.234,7.65150499344,1.234,-0.489400975026,-2.52144981921,-0.482931139414,0.0970475341802,-0.64,1
1.2,7.71763300896,1.2,-0.514154246632,-2.33392995947,-0.506811063595,0.110147745554,-0.668,1
1.168,7.78083181381,1.168,-0.50633868905,-2.30675637722,-0.499021940533,0.109751227752,-0.659,1
1.136,7.84645700455,1.136,-0.48761763039,-2.32969427109,-0.480640783163,0.104652708392,-0.637,1
1.103,7.9114408493,1.103,-0.507818522024,-2.17203578082,-0.500025241537,0.116899207303,-0.66,1
1.07,7.97582793236,1.07,-0.512525159317,-2.08770238992,-0.504341918229,0.122748616324,-0.665,1
1.035,8.0412569046,1.035,-0.534931220826,-1.93482817922,-0.525715394384,0.138237396625,-0.69,1
1.001,8.10580301285,1.001,-0.526755228534,-1.90031336336,-0.517515432637,0.138596938455,-0.681,1
0.967,8.17196679115,0.967,-0.513876336434,-1.88177569473,-0.504773651527,0.136540273602,-0.666,1
0.933,8.23615288734,0.933,-0.529709734934,-1.76134199255,-0.51968499741,0.150371062853,-0.683,1
0.904,8.30245184898,0.904,-0.437412582081,-2.06669866628,-0.430357649671,0.105823986152,-0.576,1
0.873,8.36923980713,0.873,-0.464155528346,-1.88083507938,-0.455929474337,0.123390810134,-0.607,1
0.841,8.43541193008,0.841,-0.483587326065,-1.73908610642,-0.474318332726,0.139034900078,-0.629,1
0.809,8.49678397179,0.809,-0.521410060875,-1.55156192929,-0.510208229331,0.168027473165,-0.672,1
0.778,8.56107592583,0.778,-0.4821754209,-1.61352065302,-0.472214275377,0.149417182854,-0.627,1
0.748,8.62658190727,0.748,-0.457973445143,-1.6332824707,-0.448626757244,0.140200318487,-0.598,1
