r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.287,5.18398785591,1.287,0.0,0.0,0.0,0.0,-0.539,0.0
1.284,5.24939990044,1.284,-0.0458631131587,-27.9963550568,0.0,0.0,-0.539,0.0
1.285,5.31484985352,1.285,0.0152788497616,84.1031897068,0.0,0.0,-0.539,0.0
1.276,5.37935900688,1.276,-0.139515084765,-9.14596441057,0.0,0.0,-0.539,0.0
1.261,5.44502305984,1.261,-0.228435488263,-5.52015805244,0.0,0.0,-0.539,0.0
1.245,5.50931406021,1.245,-0.248868424956,-5.002643466,0.0,0.0,-0.539,0.0
1.229,5.57412004471,1.229,-0.246890779056,-4.97790968418,0.0,0.0,-0.539,0.0
1.214,5.70086693764,1.214,-0.118346096329,-10.2580485344,0.0,0.0,-0.539,0.0
1.189,5.70355701447,1.189,-9.29341487193,-0.12794005394,0.0,0.0,-0.539,0.0
1.168,5.79311704636,1.168,-0.234479594933,-4.9812436785,0.0,0.0,-0.539,0.0
1.14,5.92623901367,1.14,-0.210333430046,-5.41996581214,0.0,0.0,-0.539,0.0
1.113,5.93028998375,1.113,-6.66507021364,-0.166989988751,0.0,0.0,-0.539,0.0
1.087,6.02701306343,1.087,-0.26880864511,-4.04376875437,-0.266592819054,0.0332373908398,-0.37,1
1.054,6.02863907814,1.054,-20.2950193548,-0.0519339243571,-7.26883938604,195.392699532,-1,1
-0.4,6.09361791611,-0.4,-22.3765158857,0.0178758838974,-64.1022211509,-625.885578978,-1,1
