r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.323,5.20345687866,1.323,0.0,0.0,0.0,0.0,-0.539,0.0
1.319,5.26872396469,1.319,-0.06128663379,-21.5218216181,0.0,0.0,-0.539,0.0
1.315,5.33346986771,1.315,-0.0617799708356,-21.2852156162,0.0,0.0,-0.539,0.0
1.304,5.39835882187,1.304,-0.169520377419,-7.69229056618,0.0,0.0,-0.539,0.0
1.294,5.46390390396,1.294,-0.152566747661,-8.48153362274,0.0,0.0,-0.539,0.0
1.283,5.52879595757,1.283,-0.169512280612,-7.56877316128,0.0,0.0,-0.539,0.0
1.264,5.59292578697,1.264,-0.296273983196,-4.26632128264,0.0,0.0,-0.539,0.0
1.247,5.65859794617,1.247,-0.258861596884,-4.81724603036,0.0,0.0,-0.539,0.0
1.229,5.7229309082,1.229,-0.279794360936,-4.39251168569,0.0,0.0,-0.539,0.0
1.2,5.78811979294,1.2,-0.444861115784,-2.69747109249,0.0,0.0,-0.539,0.0
1.173,5.85361599922,1.173,-0.412237616987,-2.84544629521,0.0,0.0,-0.539,0.0
1.142,5.9188709259,1.142,-0.475059916185,-2.40390729904,0.0,0.0,-0.539,0.0
1.109,5.98329782486,1.109,-0.512208418139,-2.16513427099,-0.504322711388,0.118285601268,-0.665,1
1.073,6.04797887802,1.073,-0.556577208322,-1.9278547234,-0.546953779032,0.14435143934,-0.715,1
1.039,6.11359095573,1.039,-0.51819727686,-2.00502790423,-0.509582313185,0.129224455123,-0.671,1
1.005,6.17884278297,1.005,-0.521058205389,-1.92876724636,-0.512053175425,0.135075449454,-0.674,1
0.967,6.24355077744,0.967,-0.587253558335,-1.64664817484,-0.575365700983,0.178317860278,-0.748,1
0.929,6.30751490593,0.929,-0.594082978922,-1.56375461503,-0.58141937699,0.18995402898,-0.755,1
0.897,6.37280082703,0.897,-0.490151620172,-1.83004597574,-0.481223763956,0.133917843231,-0.638,1
0.858,6.43851280212,0.858,-0.593499129223,-1.44566345215,-0.579814544282,0.205268774119,-0.753,1
0.819,6.50306677818,0.819,-0.604145590728,-1.35563349724,-0.589290405755,0.222827774601,-0.764,1
0.778,6.56811189651,0.778,-0.630331699772,-1.23427078201,-0.613308646998,0.255345791605,-0.791,1
0.737,6.63360595703,0.737,-0.626010964609,-1.17729567318,-0.608286417897,0.265868200686,-0.785,1
0.699,6.69906497002,0.699,-0.580515933055,-1.20410131781,-0.56444541572,0.241057760037,-0.735,1
0.664,6.76362085342,0.664,-0.542165921253,-1.22471733093,-0.527409702068,0.221343287777,-0.692,1
0.625,6.8276848793,0.625,-0.608765987853,-1.02666708139,-0.589000866361,0.296476822373,-0.763,1
0.588,6.89337897301,0.588,-0.563216537648,-1.04400343508,-0.545233948743,0.269738833571,-0.713,1
0.551,6.95748877525,0.551,-0.577134832798,-0.954716244259,-0.556984523347,0.302254641768,-0.727,1
0.512,7.02242588997,0.512,-0.600581041687,-0.85250776242,-0.577098125825,0.352243737923,-0.75,1
0.473,7.08828282356,0.473,-0.592192771084,-0.79872639974,-0.567478727524,0.370710653409,-0.739,1
0.433,7.15334200859,0.433,-0.614824793497,-0.704265677929,-0.585724752951,0.436500608198,-0.76,1
0.395,7.21819281578,0.395,-0.585960324113,-0.674107074738,-0.556985682642,0.434619622069,-0.727,1
0.36,7.28253483772,0.36,-0.543967984585,-0.661803654262,-0.516569728265,0.410973844797,-0.679,1
0.322,7.34720778465,0.322,-0.587571802491,-0.548018129248,-0.551832607555,0.53608792404,-0.721,1
0.284,7.41264486313,0.284,-0.580710522001,-0.489056060189,-0.541130156935,0.593705475991,-0.708,1
0.248,7.47809386253,0.248,-0.550046606172,-0.450870884789,-0.509381113032,0.609982397099,-0.671,1
0.212,7.54287791252,0.212,-0.555692334869,-0.38150607215,-0.507139823701,0.728287667529,-0.668,1
0.179,7.60772800446,0.179,-0.508865893875,-0.351762619886,-0.460645316976,0.723308653491,-0.613,1
0.145,7.67240285873,0.145,-0.525706634816,-0.275819231482,-0.462173884037,0.952991261688,-0.615,1
0.113,7.73799586296,0.113,-0.487856904517,-0.231625296175,-0.417649128917,1.053116634,-0.561,1
0.081,7.80335378647,0.081,-0.489611638231,-0.165437243879,-0.390961615066,1.47975034748,-0.528,1
0.051,7.86855387688,0.051,-0.460122061367,-0.110840153694,-0.321748001657,2.07561089565,-0.441,1
0.02,7.93184685707,0.02,-0.489785753569,-0.0408341807704,-0.089968946237,5.99725210998,-0.127,1
-0.008,7.99712896347,-0.008,-0.428907728998,0.0186520303999,-1.19541539564,-11.4976149996,-1,1
