r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.665,6.27560400963,1.665,0.0,0.0,0.0,0.0,-0.539,0.0
1.666,6.34210801125,1.666,0.0150366891567,110.795666695,0.0,0.0,-0.539,0.0
1.671,6.40683507919,1.671,0.0772474354016,21.631786108,0.0,0.0,-0.539,0.0
1.659,6.47132396698,1.659,-0.186078569686,-8.91558873653,0.0,0.0,-0.539,0.0
1.649,6.53635597229,1.649,-0.153770438914,-10.7237776756,0.0,0.0,-0.539,0.0
1.633,6.61410212517,1.633,-0.205797964372,-7.93496672809,0.0,0.0,-0.539,0.0
1.614,6.66589403152,1.614,-0.366852686771,-4.39958615052,0.0,0.0,-0.539,0.0
1.59,6.73001909256,1.59,-0.374268649613,-4.24828529358,0.0,0.0,-0.539,0.0
1.568,6.7952311039,1.568,-0.33736116321,-4.64783789895,0.0,0.0,-0.539,0.0
1.549,6.86218309402,1.549,-0.28378544034,-5.45834908987,0.0,0.0,-0.539,0.0
1.524,6.92555403709,1.524,-0.394502571511,-3.86309268951,0.0,0.0,-0.539,0.0
1.498,6.99151015282,1.498,-0.394201503759,-3.8000869751,0.0,0.0,-0.539,0.0
1.47,7.0662920475,1.47,-0.374422179571,-3.9260494709,-0.371243223368,0.0476843430459,-0.503,1
1.443,7.12121605873,1.443,-0.491588276149,-2.93538326687,-0.486005946899,0.0837349387552,-0.643,1
1.421,7.18633818626,1.421,-0.337826800712,-4.20629741929,-0.335149649708,0.0401572650525,-0.458,1
1.393,7.25028014183,1.393,-0.437897148312,-3.18111228943,-0.433308636407,0.0688276785712,-0.58,1
1.365,7.31562113762,1.365,-0.428521170547,-3.18537354469,-0.42403691185,0.067263880442,-0.569,1
1.339,7.38064813614,1.339,-0.399833924244,-3.34889042377,-0.395854159071,0.0596964775863,-0.534,1
1.309,7.44519901276,1.309,-0.464749691593,-2.81656991641,-0.459249506316,0.082502779158,-0.611,1
1.282,7.5167889595,1.282,-0.377147926866,-3.39919673072,-0.373449524403,0.0554760369498,-0.506,1
1.256,7.5757291317,1.256,-0.441125280628,-2.84726370298,-0.435960962337,0.0774647743669,-0.583,1
1.222,7.64058709145,1.222,-0.524222472191,-2.3310713768,-0.51672631288,0.112442389669,-0.68,1
1.19,7.70444917679,1.19,-0.501079785109,-2.37487129867,-0.494046705248,0.105496197918,-0.653,1
1.156,7.77018713951,1.156,-0.517204954212,-2.23509073257,-0.509491546926,0.115701109282,-0.671,1
1.126,7.8366560936,1.126,-0.45133852958,-2.49480141004,-0.445308142715,0.0904558029676,-0.594,1
1.096,7.90268015862,1.096,-0.454379777918,-2.41207917531,-0.448100550954,0.0941884044621,-0.598,1
1.064,7.9688770771,1.064,-0.483406187646,-2.20104753971,-0.476085337325,0.109812754819,-0.631,1
1.033,8.02974796295,1.033,-0.509274665016,-2.02837500265,-0.500905491592,0.125537601369,-0.661,1
1.002,8.0949511528,1.002,-0.475436862389,-2.10753536224,-0.467917227988,0.112794516027,-0.622,1
0.971,8.15973615646,0.971,-0.478505799918,-2.0292335018,-0.470645593925,0.117903089884,-0.625,1
0.937,8.22531914711,0.937,-0.518427105335,-1.80739006575,-0.508865857966,0.143418710537,-0.67,1
