r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.326,5.25498318672,1.326,0.0,0.0,0.0,0.0,-0.539,0.0
1.326,5.32230997086,1.326,0.0,-1326.0,0.0,0.0,-0.539,0.0
1.326,5.38495898247,1.326,0.0,-1326.0,0.0,0.0,-0.539,0.0
1.317,5.45033597946,1.317,-0.137663098855,-9.56683389346,0.0,0.0,-0.539,0.0
1.306,5.51565313339,1.306,-0.168409052416,-7.7549275485,0.0,0.0,-0.539,0.0
1.287,5.58025598526,1.287,-0.29410466335,-4.37599317651,0.0,0.0,-0.539,0.0
1.269,5.64544010162,1.269,-0.276140891435,-4.59548020363,0.0,0.0,-0.539,0.0
1.247,5.71028494835,1.247,-0.339271370216,-3.67552381212,0.0,0.0,-0.539,0.0
1.222,5.77658700943,1.222,-0.377062184681,-3.24084474564,0.0,0.0,-0.539,0.0
1.196,5.84106397629,1.196,-0.403244775104,-2.96594047546,0.0,0.0,-0.539,0.0
1.169,5.90567708015,1.169,-0.417871892608,-2.79750808963,0.0,0.0,-0.539,0.0
1.138,5.97048711777,1.138,-0.478320969124,-2.37915557431,0.0,0.0,-0.539,0.0
1.108,6.03493714333,1.108,-0.465476929451,-2.38035427729,-0.458958615015,0.0977747165393,-0.611,1
1.075,6.100274086,1.075,-0.505074138,-2.12840040525,-0.497164064051,0.118651109245,-0.657,1
1.043,6.16565418243,1.043,-0.489445591925,-2.1309825182,-0.481789568037,0.11484035832,-0.638,1
1.009,6.23083209991,1.009,-0.521649069414,-1.93425055111,-0.512659384854,0.134845268394,-0.675,1
0.973,6.29634308815,0.973,-0.54952613248,-1.77061643203,-0.539180844016,0.155179326967,-0.706,1
0.939,6.36035513878,0.939,-0.531149989199,-1.76786222177,-0.521135068679,0.150223807788,-0.685,1
0.903,6.42647409439,0.903,-0.544473209939,-1.65848380327,-0.533530017752,0.164147882803,-0.699,1
0.866,6.49184799194,0.866,-0.565975127463,-1.53010257515,-0.553645341285,0.184946792671,-0.723,1
0.829,6.55580401421,0.829,-0.578522533001,-1.43296060691,-0.565065021091,0.201862678643,-0.736,1
0.791,6.62124800682,0.791,-0.580649170103,-1.36226837259,-0.566441270451,0.21311849478,-0.737,1
0.755,6.68661308289,0.755,-0.550752820423,-1.37085090081,-0.537360826198,0.20087991338,-0.704,1
0.719,6.75109004974,0.719,-0.558338919375,-1.2877483103,-0.543886330182,0.216788837892,-0.711,1
0.679,6.81548309326,0.679,-0.62118511278,-1.09307191372,-0.60224201291,0.284146498041,-0.778,1
0.643,6.88163805008,0.643,-0.544176910269,-1.18160103427,-0.528825510079,0.230271002854,-0.694,1
0.605,6.94709706306,0.605,-0.580515933055,-1.04217639095,-0.561948508894,0.278511362422,-0.732,1
0.565,7.01226210594,0.565,-0.613826036689,-0.92045623064,-0.591596986346,0.333435755148,-0.766,1
0.525,7.07587504387,0.525,-0.628802902418,-0.834919810295,-0.603698579238,0.376564847704,-0.78,1
0.486,7.14097905159,0.486,-0.599041462504,-0.811296096215,-0.574428933436,0.369187936007,-0.747,1
0.446,7.20573210716,0.446,-0.617731466822,-0.721996569633,-0.589211873017,0.427793907065,-0.764,1
0.405,7.27203297615,0.405,-0.618393101415,-0.654923218053,-0.586919025046,0.472111145527,-0.761,1
0.364,7.33668518066,0.364,-0.634162443624,-0.573985425437,-0.597334421197,0.552420336406,-0.773,1
