r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.166,5.14116120338,1.166,0.0,0.0,0.0,0.0,0.01,0.0
1.163,5.20269799232,1.163,-0.0487513250473,-23.8557618459,0.0,0.0,-0.01,0.0
1.162,5.26831197739,1.162,-0.0152406533312,-76.2434506416,0.0,0.0,-0.01,0.0
1.16,5.3328461647,1.16,-0.0309913254223,-37.4298286438,0.0,0.0,-0.01,0.0
1.158,5.40082812309,1.158,-0.0294195702417,-39.3615539074,0.0,0.0,-0.01,0.0
1.154,5.46426105499,1.154,-0.0630587280169,-18.3004008532,0.0,0.0,-0.01,0.0
1.153,5.53009009361,1.153,-0.0151908644113,-75.9008815288,0.0,0.0,-0.01,0.0
1.156,5.59354019165,1.156,0.047281250822,24.4494377772,0.0,0.0,-0.01,0.0
1.151,5.66317009926,1.151,-0.0718082239624,-16.0288047314,0.0,0.0,-0.01,0.0
1.147,5.72439098358,1.147,-0.065337181,-17.5550885797,0.0,0.0,-0.01,0.0
1.147,5.790184021,1.147,0.0,-1147.0,0.0,0.0,-0.01,0.0
1.146,5.85729813576,1.146,-0.0148999953818,-76.9127755165,0.0,0.0,-0.01,0.0
1.146,5.92069816589,1.146,0.0,-1146.0,0.0,-0.0,-0.01,1
1.151,5.98572802544,1.151,0.0768877564114,14.9698736668,0.0769733591784,0.00128404150434,-0.01,1
1.151,6.05060720444,1.151,0.0,-1151.0,0.0,-0.0,-0.01,1
1.148,6.11898612976,1.148,-0.0438731668538,-26.1663354238,-0.0438452218078,0.000419175690283,-0.059,1
1.144,6.18116211891,1.144,-0.0643335161148,-17.7823328972,-0.0642732188931,0.000904458325108,-0.089,1
1.147,6.24867105484,1.147,0.0444385614844,25.8109165033,0.0444672564241,0.00043042409477,-0.01,1
1.145,6.31467819214,1.145,-0.0302997536608,-37.7890861034,-0.0302863901226,0.000200453072468,-0.039,1
1.143,6.37723517418,1.143,-0.0319708517701,-35.7513152361,-0.0319559474924,0.000223564165115,-0.042,1
1.14,6.44228410721,1.14,-0.0461191269449,-24.7185945511,-0.0460880308356,0.000466441638192,-0.063,1
1.136,6.50742816925,1.136,-0.0614023730575,-18.50091362,-0.061347058336,0.000829720822424,-0.085,1
1.136,6.57607507706,1.136,0.0,-1136.0,0.0,-0.0,-0.01,1
1.132,6.63890719414,1.132,-0.0636617097409,-17.7814891338,-0.0636020393451,0.000895055937973,-0.088,1
1.125,6.70375704765,1.125,-0.107941647059,-10.4222978864,-0.107769033738,0.0025891998155,-0.152,1
1.119,6.77074313164,1.119,-0.0895708428246,-12.4929046631,-0.0894513472052,0.00179243429051,-0.126,1
1.112,6.83357810974,1.112,-0.111402919381,-9.98178509303,-0.111216909033,0.00279015522632,-0.157,1
1.11,6.90218901634,1.11,-0.0291498844583,-38.0790531635,-0.0291371259634,0.00019137742431,-0.037,1
1.104,6.96476507187,1.104,-0.0958833206966,-11.5139942169,-0.0957445282572,0.00208188659144,-0.135,1
1.096,7.03304004669,1.096,-0.11717323984,-9.35367155075,-0.11696445687,0.00313174455625,-0.165,1
1.088,7.09549498558,1.088,-0.12809235174,-8.49387168884,-0.127841009053,0.00377014029739,-0.181,1
1.077,7.16160297394,1.077,-0.16639441425,-6.47257304192,-0.165965954004,0.00642690368932,-0.234,1
1.067,7.22794008255,1.067,-0.15074518937,-7.07816948891,-0.150390236041,0.00532429993399,-0.212,1
1.056,7.29156017303,1.056,-0.172901357358,-6.10752868652,-0.17242953161,0.00707738621593,-0.243,1
1.046,7.35571503639,1.046,-0.155872828288,-6.7105987072,-0.155485697336,0.00580696429222,-0.22,1
1.035,7.42160201073,1.035,-0.166952574634,-6.1993653124,-0.166503731442,0.00673264786879,-0.235,1
1.021,7.4889960289,1.021,-0.207733570122,-4.9149494682,-0.2070291425,0.0105664143378,-0.29,1
1.006,7.55211615562,1.006,-0.237642108444,-4.23325649897,-0.236706492611,0.0140342375014,-0.33,1
0.994,7.618527174,0.994,-0.180692907506,-5.50104602178,-0.180145457358,0.00821175221906,-0.254,1
0.982,7.68701601028,0.982,-0.175211036576,-5.6046697696,-0.174690009636,0.00781540410848,-0.246,1
0.97,7.74754905701,0.97,-0.198238824076,-4.89308794339,-0.19756358986,0.01012851324,-0.277,1
0.956,7.81509399414,0.956,-0.207269420834,-4.61235427856,-0.206520456176,0.0112344698779,-0.29,1
0.943,7.87862920761,0.943,-0.204610943915,-4.60874663866,-0.203871006863,0.0110990557714,-0.286,1
0.932,7.94402909279,0.932,-0.168196013955,-5.54115390778,-0.167690114472,0.00758849225065,-0.236,1
0.919,8.00825715065,0.919,-0.202403753638,-4.54042962881,-0.201660785203,0.0111445265198,-0.283,1
0.908,8.0769701004,0.908,-0.160086272523,-5.6719416705,-0.159615868436,0.00705606130241,-0.225,1
0.897,8.14002919197,0.897,-0.174439557033,-5.14218228514,-0.173874169462,0.00848081356124,-0.245,1
0.885,8.20513510704,0.885,-0.184315050133,-4.80156123638,-0.183675275412,0.00959662082076,-0.258,1
0.875,8.26907300949,0.875,-0.156401752587,-5.59456646442,-0.155935819097,0.00698900234636,-0.22,1
0.865,8.33776807785,0.865,-0.145570857397,-5.94212341309,-0.145162555383,0.00612453020902,-0.205,1
0.854,8.40031099319,0.854,-0.175879233315,-4.85560451854,-0.17527553494,0.00905547561806,-0.247,1
0.841,8.46601510048,0.841,-0.197856732817,-4.2505503251,-0.197080924519,0.0116371244712,-0.277,1
0.829,8.53384613991,0.829,-0.176910159435,-4.6859943072,-0.176280943422,0.00943824020249,-0.248,1
0.819,8.59657716751,0.819,-0.159410747474,-5.1376711607,-0.158893617103,0.00775695555863,-0.224,1
0.81,8.66118311882,0.81,-0.139306051805,-5.81453561783,-0.138906747771,0.00598956051529,-0.196,1
0.798,8.72635102272,0.798,-0.184139726488,-4.33366560936,-0.183431551073,0.0106226312253,-0.258,1
0.79,8.79690718651,0.79,-0.113384849325,-6.96742117405,-0.113113623079,0.00406839368872,-0.16,1
0.782,8.8572499752,0.782,-0.132575907956,-5.89850759506,-0.132201304985,0.00561904455573,-0.187,1
0.772,8.92441320419,0.772,-0.148890995126,-5.18500127792,-0.148412399953,0.00717892760027,-0.21,1
0.763,8.98801708221,0.763,-0.141500805926,-5.39219543669,-0.141063442927,0.00656044497955,-0.199,1
0.753,9.05185317993,0.753,-0.156651179467,-4.80685815811,-0.156108027807,0.00814727490986,-0.22,1
0.745,9.11819505692,0.745,-0.120587483558,-6.1780872941,-0.120262173912,0.00487964469495,-0.17,1
0.736,9.18542814255,0.736,-0.133862664719,-5.49817233615,-0.133456885439,0.00608668920026,-0.189,1
0.726,9.24892520905,0.726,-0.157487590397,-4.60988702774,-0.156918206992,0.00854075107747,-0.222,1
0.718,9.31370711327,0.718,-0.123491275785,-5.8141759038,-0.123137281004,0.00530992172531,-0.174,1
0.709,9.37859797478,0.709,-0.138694413827,-5.11195786794,-0.138242224348,0.00678284218148,-0.195,1
