r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.202,5.19998002052,1.202,0.0,0.0,0.0,0.0,0.01,0.0
1.201,5.26718902588,1.201,-0.0148789584774,-80.7180154323,0.0,0.0,-0.01,0.0
1.198,5.33109498024,1.198,-0.0469439824504,-25.5197777748,0.0,0.0,-0.01,0.0
1.196,5.39551997185,1.196,-0.0310438534813,-38.5261449814,0.0,0.0,-0.01,0.0
1.194,5.46098899841,1.194,-0.0305487969643,-39.0850088596,0.0,0.0,-0.01,0.0
1.192,5.5252430439,1.192,-0.0311264447998,-38.2954111099,0.0,0.0,-0.01,0.0
1.189,5.5912399292,1.189,-0.0454566906662,-26.1567655404,0.0,0.0,-0.01,0.0
1.184,5.66083693504,1.184,-0.0718421710727,-16.4805709839,0.0,0.0,-0.01,0.0
1.188,5.72095894814,1.188,0.0665313716937,17.8562378883,0.0,0.0,-0.01,0.0
1.187,5.78577399254,1.187,-0.0154285167774,-76.9354577064,0.0,0.0,-0.01,0.0
1.183,5.8512969017,1.183,-0.0610473504765,-19.3784003854,0.0,0.0,-0.01,0.0
1.181,5.91578388214,1.181,-0.0310140122302,-38.0795619488,0.0,0.0,-0.01,0.0
1.179,5.98055386543,1.179,-0.0308785010951,-38.1819051504,-0.030865022415,0.000202180201416,-0.030865022415,1
1.176,6.04544186592,1.176,-0.0462335097002,-25.4360961914,-0.0462032158025,0.000454408464965,-0.0462032158025,1
1.172,6.11136007309,1.172,-0.0606812620035,-19.3140347004,-0.0606288983011,0.000785455537189,-0.0606288983011,1
1.169,6.17599701881,1.169,-0.0464130841328,-25.186863184,-0.0463823716381,0.000460687420599,-0.0463823716381,1
1.169,6.2408850193,1.169,0.0,-1169.0,0.0,-0.0,-0.01,1
1.165,6.30631899834,1.165,-0.0611303188195,-19.0576463938,-0.0610768579342,0.000801913278749,-0.0610768579342,1
1.162,6.37380504608,1.162,-0.0444536330138,-26.1395958265,-0.0444252892748,0.000425156086086,-0.0444252892748,1
1.161,6.4350130558,1.161,-0.0163377310352,-71.0624992848,-0.01633389926,5.74766269115e-05,-0.01633389926,1
1.158,6.50044608116,1.158,-0.045848407337,-25.257147789,-0.0458181529263,0.000453816160478,-0.0458181529263,1
1.154,6.56598186493,1.154,-0.0610353576327,-18.907073617,-0.0609815547026,0.000807043951766,-0.0609815547026,1
1.149,6.63110995293,1.149,-0.0767717916147,-14.9664346218,-0.0766862983163,0.00128239947514,-0.0766862983163,1
1.144,6.69650888443,1.144,-0.0764538484814,-14.963275528,-0.0763686912706,0.00127735816163,-0.0763686912706,1
1.14,6.76074695587,1.14,-0.0622683699904,-18.3078503609,-0.0622116835884,0.000850296030979,-0.0622116835884,1
1.136,6.82610106468,1.136,-0.0612050270872,-18.5605669022,-0.0611500673551,0.000824395981677,-0.0611500673551,1
1.128,6.89177107811,1.128,-0.12182120244,-9.25947189331,-0.121601929311,0.00328909693348,-0.121601929311,1
1.123,6.95677995682,1.123,-0.0769125710115,-14.6009941578,-0.0768247772511,0.00131690640686,-0.0768247772511,1
1.113,7.02187395096,1.113,-0.153624003751,-7.24496154785,-0.15327059952,0.005301063461,-0.15327059952,1
1.107,7.08628606796,1.107,-0.093150175449,-11.8840355873,-0.0930195377618,0.00195956530853,-0.0930195377618,1
1.094,7.15112900734,1.094,-0.200484434002,-5.45678274448,-0.199872093839,0.00918510243994,-0.199872093839,1
1.086,7.21626996994,1.086,-0.12281058923,-8.84288567305,-0.122579121446,0.00347201676497,-0.122579121446,1
1.073,7.28134703636,1.073,-0.199763153363,-5.37136094387,-0.19914331308,0.00929760425016,-0.19914331308,1
1.065,7.34625387192,1.065,-0.12325358233,-8.6407224834,-0.123015844528,0.00356606703222,-0.123015844528,1
1.056,7.4109609127,1.056,-0.139088418982,-7.59229278564,-0.138783090883,0.0045799214713,-0.138783090883,1
1.046,7.47603392601,1.046,-0.153673535188,-6.80663719177,-0.153297251641,0.00564425320676,-0.153297251641,1
1.036,7.54146790504,1.036,-0.152825797049,-6.77896022797,-0.152450061459,0.00563603384256,-0.152450061459,1
1.027,7.60712003708,1.027,-0.137086180161,-7.49163773325,-0.136781204166,0.00457463991994,-0.136781204166,1
1.018,7.67141389847,1.018,-0.139982259667,-7.27235009935,-0.139661450351,0.00481213974008,-0.139661450351,1
1.012,7.73677587509,1.012,-0.0917964894874,-11.0243867238,-0.0916577115645,0.00208166884442,-0.0916577115645,1
1.005,7.80123901367,1.005,-0.108589189949,-9.25506489617,-0.108393640825,0.00293323685914,-0.108393640825,1
0.998,7.86735391617,0.998,-0.105876281076,-9.42609609876,-0.105689076886,0.00280806284931,-0.105689076886,1
0.99,7.93175196648,0.99,-0.124227363433,-7.96925872564,-0.123967558082,0.00389708025895,-0.123967558082,1
0.982,7.99711108208,0.982,-0.122400677036,-8.02283143997,-0.122146401311,0.00381413588058,-0.122146401311,1
0.975,8.06224989891,0.975,-0.10746280544,-9.07290663038,-0.10726539938,0.00296109091106,-0.10726539938,1
0.97,8.12759590149,0.97,-0.0765157745338,-12.6771245003,-0.0764151789367,0.00150893395683,-0.0764151789367,1
0.963,8.19284391403,0.963,-0.107282961231,-8.97626229695,-0.107083763692,0.00298796307643,-0.107083763692,1
0.957,8.2570669651,0.957,-0.0934243998055,-10.2435766459,-0.0932723949556,0.00228007274791,-0.0932723949556,1
0.952,8.32373595238,0.952,-0.0749973894074,-12.693775177,-0.0748989193721,0.00147705052992,-0.0748989193721,1
0.946,8.38778305054,0.946,-0.0936810592891,-10.0980924765,-0.0935264408805,0.00231927612831,-0.0935264408805,1
0.942,8.45260500908,0.942,-0.0617074844694,-15.2655712366,-0.0616401133859,0.00101056625253,-0.0616401133859,1
0.939,8.52087903023,0.939,-0.0439405787081,-21.3697686195,-0.0439063086609,0.000514050707455,-0.0439063086609,1
0.935,8.61908197403,0.935,-0.0407319765085,-22.9549381137,-0.040702402642,0.000443607997403,-0.040702402642,1
0.932,8.71097707748,0.932,-0.0326459178696,-28.5487454732,-0.0326268592868,0.000285878742905,-0.0326268592868,1
