start_height = 1.6
stop_height = 0.5
start_point = 12
v0 = 0.4
tau_dot = 0.75
buf_size = 1
order = 1
len(r) = 77

+-------+---------------+--------+------------------+----------------+------------------+-------------------+-------------+
|   r   |       t       | r_filt |        v         |      tau       |      v_need      |       a_need      | cmnd,marker |
+-------+---------------+--------+------------------+----------------+------------------+-------------------+-------------+
| 1.205 | 5.16064620018 | 1.205  |       0.0        |      0.0       |       0.0        |        0.0        |     0.01    |
| 1.203 | 5.22811198235 | 1.203  | -0.0296446574219 | -40.5806679726 |       0.0        |        0.0        |    -0.01    |
| 1.197 | 5.29132413864 | 1.197  | -0.0949184516333 | -12.610825181  |       0.0        |        0.0        |    -0.01    |
| 1.194 | 5.35543203354 | 1.194  | -0.0467961084169 | -25.5149421692 |       0.0        |        0.0        |    -0.01    |
|  1.19 | 5.42098212242 |  1.19  | -0.0610220377759 | -19.5011514425 |       0.0        |        0.0        |    -0.01    |
| 1.188 | 5.48893499374 | 1.188  | -0.0294321632195 | -40.3640055656 |       0.0        |        0.0        |    -0.01    |
| 1.185 | 5.55148410797 | 1.185  | -0.0479623098914 | -24.7069001198 |       0.0        |        0.0        |    -0.01    |
| 1.181 | 5.62834501266 | 1.181  | -0.0520420624236 | -22.6931821108 |       0.0        |        0.0        |    -0.01    |
|  1.18 | 5.68518209457 |  1.18  | -0.0175941474546 | -67.0677566528 |       0.0        |        0.0        |    -0.01    |
| 1.188 | 5.74722409248 | 1.188  |  0.128944912633  | 9.21323668957  |       0.0        |        0.0        |    -0.01    |
| 1.187 | 5.81268906593 | 1.187  | -0.015275344162  | -77.7069234848 |       0.0        |        0.0        |    -0.01    |
| 1.188 |  5.8795042038 | 1.188  | 0.0149666682129  | 79.3763837814  |       0.0        |        0.0        |    -0.01    |
| 1.184 | 5.94606113434 | 1.184  | -0.0600989253475 | -19.7008514404 | -0.0600480824304 | 0.000762643755895 |    -0.083   |
| 1.181 | 6.00841617584 | 1.181  | -0.0481115869326 | -24.5471013387 | -0.0480789207627 | 0.000489992548089 |    -0.066   |
| 1.179 | 6.07628512383 | 1.179  | -0.0294685575575 | -40.0087448359 | -0.0294562816756 |  0.00018413822827 |    -0.038   |
| 1.174 | 6.14100217819 | 1.174  | -0.0772593877904 | -15.1955643654 | -0.0771746488211 |  0.00127108454041 |    -0.108   |
| 1.169 |  6.2061882019 | 1.169  | -0.0767035587579 | -15.2404923439 | -0.0766196774359 |  0.00125821983022 |    -0.107   |
| 1.173 | 6.26978206635 | 1.173  | 0.0628991497083  | 18.6489007473  | 0.0629553631643  |  0.00084320184016 |    -0.01    |
| 1.168 | 6.33823013306 | 1.168  | -0.0730480821479 | -15.9894683838 | -0.0729719402771 |  0.00114212806196 |    -0.102   |
| 1.161 | 6.40497207642 | 1.161  | -0.104881572931  | -11.0696280343 | -0.104723661011  |  0.00236867879855 |    -0.148   |
| 1.154 | 6.46637821198 | 1.154  | -0.113995123391  | -10.1232400622 | -0.113807444474  |  0.00281518374282 |    -0.161   |
