r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.16,5.14155197144,1.16,0.0,0.0,0.0,0.0,0.539,0.0
1.159,5.20816898346,1.159,-0.0150111806222,-77.2091169357,0.0,0.0,-0.539,0.0
1.157,5.27204799652,1.157,-0.0313091875429,-36.9540090561,0.0,0.0,-0.539,0.0
1.151,5.33637404442,1.151,-0.0932748116218,-12.3398801883,0.0,0.0,-0.539,0.0
1.143,5.4005651474,1.143,-0.124627863184,-9.17130383849,0.0,0.0,-0.539,0.0
1.131,5.46561908722,1.131,-0.18446230979,-6.13133382797,0.0,0.0,-0.539,0.0
1.119,5.53178119659,1.119,-0.181372693727,-6.16961669922,0.0,0.0,-0.539,0.0
1.103,5.59570813179,1.103,-0.250285735597,-4.40696309507,0.0,0.0,-0.539,0.0
1.084,5.66114497185,1.084,-0.290356318908,-3.73334392748,0.0,0.0,-0.539,0.0
1.064,5.72570109367,1.064,-0.309807953673,-3.43438568115,0.0,0.0,-0.539,0.0
1.038,5.79074311256,1.038,-0.399741589261,-2.59667752339,0.0,0.0,-0.539,0.0
1.014,5.85516500473,1.014,-0.372544164616,-2.72182494402,0.0,0.0,-0.539,0.0
0.989,5.92037916183,0.989,-0.383352344184,-2.57987205505,-0.37839922589,0.0742967744143,-0.512,1
0.961,5.98504805565,0.961,-0.432974778887,-2.21952881983,-0.426472275968,0.0975375437835,-0.572,1
0.935,6.0492169857,0.935,-0.405180513034,-2.30761344616,-0.399327705614,0.0877921113061,-0.538,1
0.906,6.11416316032,0.906,-0.446523604646,-2.02900807611,-0.439187941309,0.110034950059,-0.587,1
0.876,6.18011212349,0.876,-0.454897219913,-1.92570972443,-0.447023114864,0.118111575733,-0.597,1
0.847,6.24469017982,0.847,-0.449068950749,-1.8861246109,-0.441132590162,0.119045408812,-0.589,1
0.815,6.30890107155,0.815,-0.498357819694,-1.63537114859,-0.488199925361,0.152368415,-0.646,1
0.786,6.37430310249,0.786,-0.443411306668,-1.77262056285,-0.435073156249,0.125072256286,-0.582,1
0.755,6.43913912773,0.755,-0.478129248149,-1.57907093725,-0.46803619835,0.151395746977,-0.622,1
0.722,6.50418806076,0.722,-0.507310396393,-1.42319180749,-0.495428409399,0.178229804909,-0.654,1
0.692,6.56860303879,0.692,-0.465730190691,-1.4858388265,-0.455281991725,0.15672298448,-0.607,1
0.663,6.63382506371,0.663,-0.444635075906,-1.49111043174,-0.434695390098,0.149095287124,-0.582,1
0.63,6.6984360218,0.63,-0.510749274902,-1.23348192735,-0.496946903378,0.207035572868,-0.656,1
0.599,6.7628531456,0.599,-0.481238499547,-1.24470506945,-0.468350881659,0.193314268319,-0.622,1
0.566,6.8288860321,0.566,-0.499750983889,-1.13256405339,-0.485042441728,0.220628132419,-0.642,1
0.537,6.89340806007,0.537,-0.449458904388,-1.19476996619,-0.436919282617,0.188094326568,-0.584,1
0.505,6.95907306671,0.505,-0.487321963989,-1.036275886,-0.471646538472,0.235131382759,-0.626,1
0.472,7.02372407913,0.472,-0.510432841875,-0.924705389774,-0.492033005289,0.275997548798,-0.65,1
