r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.142,5.12150788307,1.142,0.0,0.0,0.0,0.0,0.01,0.0
1.143,5.18392801285,1.143,0.0160204729402,71.346208334,0.0,0.0,-0.01,0.0
1.145,5.24914002419,1.145,0.0306691966554,37.3338764906,0.0,0.0,-0.01,0.0
1.147,5.31696510315,1.147,0.0294876177152,38.897682786,0.0,0.0,-0.01,0.0
1.149,5.37986087799,1.149,0.031798638383,36.1336226463,0.0,0.0,-0.01,0.0
1.154,5.44521307945,1.154,0.0765085167471,15.0832880974,0.0,0.0,-0.01,0.0
1.159,5.51076102257,1.159,0.0762800442298,15.1940132141,0.0,0.0,-0.01,0.0
1.154,5.57724308968,1.154,-0.0752082511494,-15.3440610886,0.0,0.0,-0.01,0.0
1.156,5.64170694351,1.156,0.0310251386007,37.2601075172,0.0,0.0,-0.01,0.0
1.155,5.70617008209,1.155,-0.0155127414213,-74.4549250603,0.0,0.0,-0.01,0.0
1.158,5.77445888519,1.158,0.043931067229,26.3594779968,0.0,0.0,-0.01,0.0
1.157,5.83670592308,1.157,-0.0160650214683,-72.0198228359,0.0,0.0,-0.01,0.0
1.157,5.90213799477,1.157,0.0,-1157.0,0.0,-0.0,-0.01,1
1.156,5.96692490578,1.156,-0.0154352165337,-74.8936691284,-0.0154317816157,5.1523769343e-05,-0.017,1
1.153,6.03415989876,1.153,-0.0446196224167,-25.840648969,-0.0445908437133,0.000431680551737,-0.06,1
1.153,6.09760904312,1.153,0.0,-1153.0,0.0,-0.0,-0.01,1
1.154,6.16344404221,1.154,0.0151894890849,75.9735889435,0.0151928212712,4.99827943374e-05,-0.01,1
1.154,6.22928190231,1.154,0.0,-1154.0,0.0,-0.0,-0.01,1
1.16,6.29485297203,1.16,0.0915037687483,12.6770734787,0.091624069606,0.00180451286533,-0.01,1
1.159,6.35820388794,1.159,-0.0157850914332,-73.4237115383,-0.0157815083284,5.37465728118e-05,-0.017,1
1.158,6.42641210556,1.158,-0.0146609900519,-78.985116005,-0.0146578964332,4.64042809376e-05,-0.016,1
1.158,6.48839688301,1.158,0.0,-1158.0,0.0,-0.0,-0.01,1
1.165,6.5532720089,1.165,0.107899597951,10.7970745223,0.108066154793,0.00249835262617,-0.01,1
1.165,6.61924910545,1.165,0.0,-1165.0,0.0,-0.0,-0.01,1
1.162,6.68734288216,1.162,-0.0440568895611,-26.3749895096,-0.0440290494935,0.000417601015018,-0.06,1
1.16,6.7512691021,1.16,-0.0312860669984,-37.0772075653,-0.0312720035215,0.000210952152635,-0.041,1
1.16,6.81856989861,1.16,0.0,-1160.0,0.0,-0.0,-0.01,1
1.155,6.88017392159,1.155,-0.0811635305318,-14.2305293083,-0.0810684725421,0.00142586984597,-0.114,1
1.156,6.94837808609,1.156,0.0146618612992,78.8440141678,0.0146649606385,4.64900901291e-05,-0.01,1
1.151,7.0103290081,1.151,-0.0807090489953,-14.2611022472,-0.0806147259344,0.00141484591436,-0.113,1
1.145,7.0754199028,1.145,-0.0921787913308,-12.4215124051,-0.0920551096776,0.0018552247972,-0.13,1
1.136,7.14385795593,1.136,-0.131505786448,-8.63840315077,-0.13125206327,0.00380584768253,-0.186,1
1.129,7.20650601387,1.129,-0.111735307214,-10.1042367731,-0.111551002831,0.00276456573918,-0.158,1
1.125,7.27115106583,1.125,-0.0618763521563,-18.1814208627,-0.0618196309273,0.000850818434703,-0.086,1
1.118,7.33727407455,1.118,-0.105863301363,-10.5607891083,-0.105696231617,0.00250604619308,-0.149,1
1.109,7.40421795845,1.109,-0.134440959745,-8.24897413784,-0.13416932807,0.00407447512558,-0.19,1
1.099,7.46813488007,1.099,-0.15645309172,-7.02446968555,-0.156081881985,0.00556814602111,-0.22,1
1.089,7.53215408325,1.089,-0.156203131285,-6.97169122696,-0.155829708906,0.00560133568023,-0.22,1
1.08,7.60057210922,1.08,-0.131544280507,-8.21016311646,-0.131277245048,0.0040055318829,-0.186,1
1.071,7.66299796104,1.071,-0.14417104032,-7.42867636681,-0.143847584221,0.00485184147218,-0.203,1
1.061,7.72866201401,1.061,-0.152290325509,-6.9669560194,-0.151926009718,0.00546473686229,-0.215,1
1.062,7.79355311394,1.062,0.015410433805,68.9143481255,0.0154141607584,5.59043008609e-05,-0.01,1
1.047,7.86171007156,1.047,-0.220080245985,-4.75735564232,-0.21930922856,0.0115652613832,-0.307,1
1.035,7.92335391045,1.035,-0.194666656353,-5.31678110361,-0.194056429185,0.00915340751101,-0.273,1
1.026,7.98927092552,1.026,-0.136535308671,-7.51453971863,-0.136232483938,0.00454237098289,-0.193,1
1.014,8.05653500557,1.014,-0.178401310053,-5.68381476402,-0.177878183369,0.0078469002536,-0.251,1
1.002,8.12121105194,1.002,-0.185540098278,-5.40044987202,-0.184967491357,0.00858910380964,-0.26,1
0.992,8.18507099152,0.992,-0.156592694364,-6.33490600586,-0.156180710629,0.00617975603028,-0.221,1
0.981,8.24942588806,0.981,-0.170927164683,-5.73928668282,-0.170430798805,0.00744548818214,-0.24,1
0.975,8.31787896156,0.975,-0.0876512871239,-11.123624444,-0.0875199580959,0.0019699354191,-0.123,1
0.966,8.38009405136,0.966,-0.144659439201,-6.67775297165,-0.144298391006,0.00541572291664,-0.204,1
0.955,8.44860696793,0.955,-0.160553667126,-5.94816684723,-0.160103798365,0.00674803142084,-0.226,1
0.942,8.51120901108,0.942,-0.207660953948,-4.53624035762,-0.206897983817,0.0114445519625,-0.29,1
0.928,8.57598209381,0.928,-0.216139164746,-4.29353005545,-0.215300153638,0.0125851666318,-0.301,1
0.922,8.64157390594,0.922,-0.0914748320684,-10.0792751312,-0.0913235731222,0.0022688841925,-0.129,1
0.912,8.70835399628,0.912,-0.149745230207,-6.09034423828,-0.149335441574,0.0061468294873,-0.211,1
0.901,8.77216410637,0.901,-0.172386475813,-5.22662810846,-0.171836769985,0.00824558741484,-0.242,1
0.894,8.83695292473,0.894,-0.108043334903,-8.27445765904,-0.107825710701,0.00326436303609,-0.152,1
0.888,8.90513205528,0.888,-0.0880034689681,-10.090511322,-0.0878581121635,0.00218035206938,-0.124,1
0.879,8.96775388718,0.879,-0.143719845425,-6.11606558164,-0.143328199729,0.00587468542914,-0.203,1
0.874,9.03246808052,0.874,-0.0772628034381,-11.3120409966,-0.0771489678012,0.00170753455238,-0.108,1
0.866,9.09762406349,0.866,-0.122782277777,-7.05313515663,-0.122492141369,0.00435204611319,-0.173,1
0.861,9.16608190536,0.861,-0.0730376515413,-11.7884403706,-0.0729343898583,0.00154892524468,-0.102,1
0.852,9.2301928997,0.852,-0.140381538187,-6.06917413076,-0.139996033956,0.00578256345767,-0.198,1
0.843,9.2937130928,0.843,-0.141687226703,-5.9497247537,-0.141290325355,0.00595352022862,-0.2,1
0.838,9.36170601845,0.838,-0.0735370621671,-11.3956143379,-0.0734295104664,0.00161327551079,-0.103,1
0.831,9.42432403564,0.831,-0.111788911776,-7.43365318435,-0.111538274777,0.00375955499281,-0.158,1
0.822,9.49072599411,0.822,-0.135538170981,-6.06471220652,-0.13516569337,0.00558716417061,-0.191,1
0.815,9.55593800545,0.815,-0.107342188294,-7.59254131998,-0.107106557509,0.00353446177538,-0.151,1
0.806,9.62237095833,0.806,-0.135474935401,-5.94944000244,-0.13509541807,0.00569275996333,-0.191,1
0.8,9.68535709381,0.8,-0.0952590590613,-8.39815139771,-0.0950700113877,0.00283571510414,-0.134,1
0.794,9.75263404846,0.794,-0.0891835849458,-8.90298366547,-0.0890166304575,0.00250431732487,-0.125,1
0.783,9.81561994553,0.783,-0.174642269345,-4.48345067284,-0.173993058569,0.00973816163532,-0.245,1
0.777,9.88055801392,0.777,-0.0923957264016,-8.40947985649,-0.0922126082064,0.00274677292705,-0.13,1
0.77,9.94672989845,0.77,-0.105785108721,-7.27890729904,-0.10554289034,0.0036332757231,-0.149,1
0.759,10.0145549774,0.759,-0.162181897434,-4.67993044853,-0.16160431799,0.00866369165189,-0.228,1
0.751,10.0762560368,0.751,-0.129657417318,-5.79218694568,-0.129284335963,0.0055962203281,-0.183,1
0.741,10.1457290649,0.741,-0.143940753146,-5.14795138836,-0.143474740091,0.00699019582195,-0.203,1
0.733,10.2085149288,0.733,-0.12741721633,-5.75275477767,-0.127048067921,0.00553722613141,-0.18,1
0.724,10.2725059986,0.724,-0.140644624774,-5.14772605896,-0.140189263114,0.00683042488872,-0.198,1
0.713,10.3397901058,0.713,-0.163485858049,-4.3612334945,-0.162861088863,0.00937153779173,-0.23,1
0.704,10.4019460678,0.704,-0.144797051028,-4.86197747125,-0.144300692458,0.00744537854629,-0.204,1
0.699,10.4679210186,0.699,-0.0757863392105,-9.2232981205,-0.0756493919237,0.00205420930291,-0.106,1
0.689,10.5353779793,0.689,-0.148242670578,-4.64778459072,-0.147711081575,0.00797383504358,-0.209,1
0.681,10.5991311073,0.681,-0.125484038893,-5.42698502541,-0.125098668261,0.00578055947757,-0.177,1
0.673,10.6639690399,0.673,-0.123384563339,-5.45449107885,-0.123007551192,0.00565518219551,-0.174,1
0.665,10.7285790443,0.665,-0.123819833649,-5.37070661783,-0.123435589258,0.00576366586653,-0.175,1
0.656,10.7969620228,0.656,-0.131611699364,-4.98435931736,-0.131171617062,0.00660123453109,-0.186,1
0.643,10.8594670296,0.643,-0.207983338737,-3.09159379739,-0.206862108328,0.0168184561401,-0.29,1
0.632,10.9241449833,0.632,-0.17007340782,-3.71604243192,-0.169310618684,0.0114418370441,-0.239,1
0.624,10.9900660515,0.624,-0.121357256784,-5.14184331894,-0.120963891833,0.00590047426849,-0.171,1
0.612,11.0579390526,0.612,-0.176800786848,-3.46152305603,-0.175949520012,0.012769002545,-0.248,1
0.599,11.1215860844,0.599,-0.204251473095,-2.93265938759,-0.203090686666,0.0174117964363,-0.285,1
0.586,11.18521595,0.586,-0.20430657629,-2.86823855914,-0.203119398329,0.0178076694178,-0.285,1
0.571,11.2535169125,0.571,-0.219616231783,-2.59998997053,-0.218208429995,0.0211170268225,-0.305,1
0.557,11.3161940575,0.557,-0.223366906694,-2.49365498338,-0.221874004988,0.0223935255861,-0.31,1
0.542,11.3811089993,0.542,-0.231071608276,-2.34559322993,-0.229429723646,0.0246282694424,-0.32,1
0.525,11.4460830688,0.525,-0.261642838534,-2.00655214927,-0.259469601233,0.0325985595028,-0.36,1
0.508,11.5143380165,0.508,-0.249066193474,-2.03961843603,-0.247030958279,0.030528527919,-0.344,1
0.489,11.5767710209,0.489,-0.30432621638,-1.60682837587,-0.30116962313,0.0473488987609,-0.415,1
