r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
1.638,6.18017792702,1.638,0.0,0.0,0.0,0.0,-0.539,0.0
1.641,6.24529099464,1.641,0.0460737008612,35.6168479919,0.0,0.0,-0.539,0.0
1.642,6.31083607674,1.642,0.0152566747661,107.625024796,0.0,0.0,-0.539,0.0
1.63,6.37568998337,1.63,-0.185031259076,-8.80932231744,0.0,0.0,-0.539,0.0
1.619,6.44099903107,1.619,-0.168429955535,-9.61230438406,0.0,0.0,-0.539,0.0
1.608,6.50620102882,1.608,-0.1687064872,-9.5313465812,0.0,0.0,-0.539,0.0
1.591,6.57035303116,1.591,-0.264995625722,-6.00387268908,0.0,0.0,-0.539,0.0
1.573,6.63547706604,1.573,-0.276395650741,-5.69111704826,0.0,0.0,-0.539,0.0
1.551,6.70098209381,1.551,-0.335852082636,-4.61810445786,0.0,0.0,-0.539,0.0
1.53,6.76612091064,1.53,-0.322388416321,-4.74582808358,0.0,0.0,-0.539,0.0
1.507,6.83015298843,1.507,-0.359194965931,-4.19549309689,0.0,0.0,-0.539,0.0
1.482,6.89665007591,1.482,-0.375956315501,-3.94194734573,0.0,0.0,-0.539,0.0
1.451,6.96061110497,1.451,-0.484670125842,-2.99378881147,-0.479273729544,0.0809459444811,-0.635,1
1.403,7.0252199173,1.403,-0.742932709446,-1.88846174379,-0.729819166781,0.196703139973,-0.92,1
1.37,7.09102106094,1.37,-0.501511040255,-2.73174444834,-0.495391494671,0.0917931837583,-0.654,1
1.339,7.15532302856,1.339,-0.48210033296,-2.77743014982,-0.476314404878,0.0867889212249,-0.632,1
1.303,7.22103190422,1.303,-0.547871191533,-2.37829624944,-0.540192428614,0.115181443788,-0.707,1
1.287,7.28505206108,1.287,-0.249921287055,-5.14962136745,-0.248303554609,0.0242659866835,-0.345,1
1.245,7.35138607025,1.245,-0.633159378201,-1.96632955756,-0.622426023497,0.161000320564,-0.801,1
1.207,7.41473603249,1.207,-0.599842504394,-2.01219485308,-0.589905718145,0.149051793736,-0.764,1
1.17,7.47996211052,1.17,-0.567257776576,-2.06255435944,-0.558090215747,0.13751341243,-0.728,1
1.138,7.54532504082,1.138,-0.489574134057,-2.32446920872,-0.482553547275,0.10530880173,-0.639,1
1.102,7.60991501808,1.102,-0.557362016906,-1.9771709707,-0.547965392045,0.140949372908,-0.716,1
1.07,7.67586112022,1.07,-0.485244752312,-2.20507279038,-0.477909472884,0.110029191424,-0.634,1
1.032,7.74062108994,1.032,-0.586782238617,-1.75874444058,-0.575661004911,0.166818505599,-0.748,1
0.998,7.80595993996,0.998,-0.520364224177,-1.91788742122,-0.511320171879,0.135660784471,-0.673,1
0.963,7.86998510361,0.963,-0.546660063082,-1.76160664558,-0.536316095461,0.155159514314,-0.703,1
0.925,7.93584895134,0.925,-0.576947768893,-1.60326471454,-0.564952499414,0.179929042179,-0.736,1
0.893,8.00027704239,0.893,-0.496677760879,-1.79794641584,-0.487469519066,0.138123627184,-0.645,1
